subjID,0bk_ACC,0bk_RT,2bk_ACC,2bk_RT
1,0.9,820.75,0.78125,889.75
2,0.875,696.62,0.6875,702.12
3,0.95,692.75,0.96875,860.62
4,1,710.62,1,981.75
5,0.675,883.25,0.875,1015.8
6,0.9,691.62,0.75,919.75
7,0.975,683.75,0.71875,1028.8
8,0.975,907.38,0.84375,1238.1
9,0.925,670.12,0.9375,1005.2
10,0.8,923.38,0.6875,1090.1
11,0.85,898.12,0.875,991.5
12,0.85,895.5,0.78125,1053.8
13,1,799.5,0.71875,1072
14,0.6,1192,0.625,1167.2
15,0.8,1135.1,0.78125,1347.5
16,0.925,789.38,0.84375,1028.5
17,0.95,871.12,0.78125,1160.9
18,1,1032.1,0.90625,1262.4
19,0.925,673.62,0.90625,855.88
20,1,860,0.875,1313.4
21,0.925,774.25,0.75,837.75
22,0.925,729.88,0.71875,1073.6
23,0.975,707,0.875,1093.8
24,1,645.25,0.75,1047.1
25,1,656.62,0.875,979.62
26,0.725,1040.8,0.6875,991.12
27,1,648.62,0.84375,975
28,0.7,1085.8,0.65625,1148.9
29,1,895.38,0.75,1191.9
30,0.975,765,0.96875,1018.6
31,0.95,676.12,0.71875,936.75
32,0.925,1171.9,0.875,1185.5
33,0.625,990.75,0.875,1107.1
34,0.9,724.62,0.96875,901.75
35,1,713.88,0.875,1047.4
36,0.975,653.75,0.84375,952.12
37,0.95,713.12,0.75,993.25
38,0.95,738.88,0.96875,854.88
39,0.95,804.38,0.8125,936.5
40,0.875,961.62,0.8125,1207.5
41,0.975,792.88,0.90625,917.38
42,0.975,716.38,0.96875,811.38
43,0.725,716.75,0.84375,909
44,1,687.75,0.90625,919.5
45,1,691.75,0.90625,1052.6
46,0.725,696.12,0.9375,821.88
47,1,625.88,0.90625,920.38
48,0.975,662.75,1,1313.8
49,0.85,992.25,0.75,948.75
50,0.875,685.25,0.6875,813.25
51,1,1119.1,0.875,1341.4
52,0.775,1125,0.875,1187
53,0.975,612.12,0.90625,790.75
54,0.975,777.88,0.9375,1078.5
55,0.975,778.12,0.625,1257.6
56,1,564.38,0.96875,961.25
57,0.925,624.88,0.84375,881.5
58,1,793.5,0.90625,1114
59,0.875,867.75,0.6875,1028.9
60,0.925,1046.4,0.625,1168.6
61,0.975,692.12,0.875,981.5
62,0.8,740.62,0.78125,815.38
63,1,696.75,0.96875,1058.8
64,0.65,1415.8,0.75,1172.6
65,0.95,961.62,0.625,1424.1
66,0.7,765,0.875,985.62
67,0.675,1312.5,0.71875,1293.5
68,0.975,732.38,0.78125,881.75
69,0.725,1171.4,0.75,1146
70,0.8,892.75,0.5625,794.12
71,0.65,833,0.75,798.12
72,0.925,706.88,0.90625,991.38
73,0.825,680,0.8125,910
74,1,598.62,0.90625,887.38
75,0.85,765.88,0.84375,898.5
76,0.975,815.12,0.84375,1048.8
77,0.95,863,0.84375,1119.6
78,0.925,734.12,0.78125,1019.5
79,0.9,789.5,0.90625,937.12
80,1,637.38,0.9375,717.75
81,0.95,547,0.8125,863.88
82,1,748.38,0.875,879
83,0.9,692.5,0.71875,1089.9
84,1,762.88,0.75,1231.6
85,0.975,966.25,0.875,1180.2
86,0.875,990.25,0.71875,1272.5
87,0.925,952.38,0.8125,1107.8
88,0.925,824.75,0.78125,858
89,0.925,761.5,0.8125,1070.1
90,0.925,1047,0.9375,1038.4
91,0.9,660.5,0.75,868.38
92,0.75,848.75,0.8125,918.62
93,0.825,865.5,0.78125,809
94,0.925,935.75,0.65625,1204.6
95,1,673.25,0.90625,809.38
96,0.725,854,0.71875,1019.8
97,0.85,824.88,0.71875,800.62
98,0.925,849.25,0.78125,999.12
99,0.975,625.25,0.65625,910.5
100,0.875,1039.4,0.78125,1301.5
101,1,684.12,0.84375,948.62
102,0.7,755.5,0.5625,899.5
103,0.85,947.88,0.9375,1127
104,0.95,945.88,0.875,901.75
105,1,713.75,0.9375,1117.1
106,0.9,767.62,0.71875,995.62
107,0.65,1395.8,0.6875,1329.5
108,1,615.75,0.71875,602.38
109,0.875,733.25,0.84375,1026.5
110,0.975,713.75,0.78125,1133
111,0.975,742.62,0.84375,967.25
112,0.925,793.88,0.84375,794
113,0.9,985.25,0.8125,962.75
114,0.975,1002.9,0.875,1248.2
115,0.85,647.62,0.9375,930.25
116,0.925,769.75,0.8125,1165.2
117,0.925,970,0.625,1361.8
118,0.975,634.38,0.9375,936.75
119,0.8,1204.4,0.625,1246.1
120,1,805.88,0.875,1078.1
121,0.975,591.12,0.90625,893.5
122,0.975,623,0.96875,1046.4
